Date,Campaign_Name,Impressions,Clicks,Spend_IDR,Conversions,Revenue_IDR
2025-03-15,Launching Produk Baru,48777,2112,4726656,23,7955677
2025-06-25,Lookalike Audience,36862,725,1296300,21,6179040
2025-02-22,Launching Produk Baru,6042,224,235648,3,1394409
2025-06-29,Flash Sale Akhir Bulan,4457,102,269484,2,894066
2025-02-10,Flash Sale Akhir Bulan,26334,942,1006998,28,6424460
2025-05-06,Retargeting Web,27993,856,2365984,35,12845420
2025-04-14,Launching Produk Baru,3972,153,166770,5,1423145
2025-05-24,Retargeting Web,20891,854,1819874,21,6416571
2025-01-17,Flash Sale Akhir Bulan,14555,470,1032120,9,1785510
2025-05-26,Launching Produk Baru,15912,740,1688680,12,4597344
2025-06-26,Lookalike Audience,43919,763,1558046,20,3544100
2025-03-03,Retargeting Web,48370,2571,7075392,61,18629949
2025-03-20,Launching Produk Baru,28846,1181,1369960,42,7286538
2025-04-26,Lookalike Audience,41076,897,1000155,20,3368940
2025-02-27,Retargeting Web,32123,1569,1697658,61,19294483
2025-02-23,Lookalike Audience,48875,1737,1768266,46,19068656
2025-02-15,Retargeting Web,37641,2528,6739648,99,18089379
2025-03-05,Flash Sale Akhir Bulan,12667,336,274176,10,3660610
2025-02-07,Flash Sale Akhir Bulan,31998,783,880092,26,4761016
2025-01-03,Lookalike Audience,39220,1496,2616504,41,19717966
2025-01-21,Retargeting Web,5026,238,617848,14,6410810
2025-04-09,Lookalike Audience,32227,316,361820,8,1348856
2025-02-12,Flash Sale Akhir Bulan,43124,536,927280,12,5893368
2025-06-23,Launching Produk Baru,22126,784,643664,20,6310440
2025-04-19,Retargeting Web,49957,2071,3752652,113,37282994
2025-02-27,Retargeting Web,8865,461,1057995,23,9288044
2025-04-19,Lookalike Audience,9980,211,374103,1,161389
2025-01-01,Flash Sale Akhir Bulan,36327,735,1098090,16,6099488
2025-02-22,Lookalike Audience,32868,1088,2949568,9,4220487
2025-02-23,Retargeting Web,41826,1545,2814990,91,31769920
2025-02-02,Lookalike Audience,26239,138,343206,3,785988
2025-01-07,Retargeting Web,13699,732,1404708,43,20635055
2025-03-11,Flash Sale Akhir Bulan,15932,657,754893,24,9848376
2025-05-24,Lookalike Audience,25765,925,781625,29,4929797
2025-04-26,Promo Diskon 50%,21657,990,2715570,15,3186975
2025-04-15,Lookalike Audience,33389,742,983892,10,3240860
2025-06-02,Lookalike Audience,37183,1341,1728549,51,15556275
2025-04-28,Lookalike Audience,28802,863,2185979,7,1526126
2025-03-30,Retargeting Web,42683,2339,4787933,93,32894565
2025-03-17,Lookalike Audience,8233,225,451350,3,1277970
2025-01-28,Flash Sale Akhir Bulan,26236,828,1487916,12,5068140
2025-03-22,Lookalike Audience,30463,1105,3056430,16,6976880
2025-01-16,Retargeting Web,12706,1010,2033130,35,8616265
2025-03-15,Promo Diskon 50%,5301,148,345136,1,170367
2025-05-14,Flash Sale Akhir Bulan,38209,224,232288,5,1225500
2025-05-13,Promo Diskon 50%,29742,1077,2309088,38,10026376
2025-03-20,Retargeting Web,45281,2940,4495260,136,60079360
2025-02-14,Lookalike Audience,49240,2101,6088698,11,2348489
2025-06-05,Lookalike Audience,30559,1265,2791855,30,14658600
2025-02-17,Promo Diskon 50%,25008,920,1295360,34,16691960
2025-04-27,Promo Diskon 50%,45846,439,1151497,9,3254094
2025-01-30,Lookalike Audience,35519,1137,2399070,26,12307100
2025-01-12,Flash Sale Akhir Bulan,31589,1311,2507943,43,11309860
2025-04-22,Flash Sale Akhir Bulan,21482,425,1159400,8,3491232
2025-05-31,Promo Diskon 50%,25265,1086,2909394,18,4693374
2025-05-22,Lookalike Audience,39808,775,1523650,28,6530720
2025-06-19,Flash Sale Akhir Bulan,23946,512,1026048,3,1393464
2025-05-15,Lookalike Audience,41633,553,981022,17,5172573
2025-06-09,Launching Produk Baru,10909,229,185719,8,2371008
2025-04-25,Lookalike Audience,39202,225,480600,8,1346688
2025-04-18,Promo Diskon 50%,5200,57,167352,0,0
2025-03-11,Flash Sale Akhir Bulan,6811,277,422979,5,1884975
2025-05-31,Flash Sale Akhir Bulan,7357,224,423136,3,645042
2025-02-12,Retargeting Web,9661,606,1007778,12,3054312
2025-01-12,Lookalike Audience,27048,1335,3390900,9,2363229
2025-02-03,Lookalike Audience,18670,381,915162,10,1742050
2025-06-05,Flash Sale Akhir Bulan,28225,949,997399,10,2374930
2025-06-10,Retargeting Web,11915,647,851452,28,6180468
2025-05-08,Flash Sale Akhir Bulan,23529,788,2147300,10,2125600
2025-04-22,Lookalike Audience,13923,193,431741,2,960306
2025-02-13,Promo Diskon 50%,43940,1864,3817472,52,15711488
2025-02-13,Retargeting Web,29290,2273,5487022,62,17142566
2025-03-18,Promo Diskon 50%,15730,271,702432,3,586005
2025-03-06,Retargeting Web,3765,259,483812,5,944725
2025-02-21,Flash Sale Akhir Bulan,22869,380,1088320,12,3483372
2025-05-02,Lookalike Audience,16977,827,1563030,21,4551519
2025-02-09,Launching Produk Baru,29717,1383,1416192,54,19272762
2025-04-03,Flash Sale Akhir Bulan,6838,219,461433,7,3288047
2025-05-21,Flash Sale Akhir Bulan,31206,1151,2113236,34,11825506
2025-04-11,Launching Produk Baru,23779,141,318237,2,441698
2025-05-08,Flash Sale Akhir Bulan,41051,212,401528,6,1182558
2025-02-27,Lookalike Audience,33402,1278,1864602,27,9720243
2025-05-07,Retargeting Web,13764,787,2208322,16,5830736
2025-03-08,Lookalike Audience,39779,1176,1834560,10,2261300
2025-03-02,Retargeting Web,30782,2424,6215136,62,11157086
2025-03-05,Lookalike Audience,5203,214,289328,8,2550560
2025-05-13,Lookalike Audience,11645,291,619539,9,2992743
2025-04-29,Flash Sale Akhir Bulan,30667,394,320322,6,2558988
2025-03-05,Launching Produk Baru,48136,2164,4139732,42,14205534
2025-01-28,Lookalike Audience,28562,1185,2035830,31,7929955
2025-06-17,Flash Sale Akhir Bulan,22142,236,704932,5,839385
2025-02-13,Lookalike Audience,44778,329,427371,1,477408
2025-02-26,Retargeting Web,17219,1049,2867966,26,12202710
2025-06-01,Flash Sale Akhir Bulan,34965,840,870240,29,13785933
2025-03-27,Launching Produk Baru,48106,604,706680,4,624060
2025-01-26,Promo Diskon 50%,3756,81,174555,0,0
2025-03-29,Launching Produk Baru,27097,222,525696,4,1267360
2025-03-27,Flash Sale Akhir Bulan,8328,314,361414,5,1363115
2025-06-14,Flash Sale Akhir Bulan,43993,2111,1804905,12,3499656
2025-06-27,Promo Diskon 50%,3753,177,484095,3,1444008
2025-01-27,Launching Produk Baru,21000,912,1464672,13,4359251
2025-03-19,Launching Produk Baru,19183,286,442156,4,1590668
2025-06-14,Retargeting Web,38545,1398,2509410,32,13522304
2025-04-18,Lookalike Audience,24935,163,340344,1,245967
2025-02-04,Lookalike Audience,11079,430,415810,4,860796
2025-02-22,Retargeting Web,15581,472,1373520,27,8100918
2025-05-02,Lookalike Audience,40952,1286,3271584,34,7921932
2025-04-23,Retargeting Web,19135,1393,1678565,37,13473513
2025-06-20,Launching Produk Baru,21780,671,1602348,3,766164
2025-02-26,Lookalike Audience,5751,157,357332,1,173267
2025-06-23,Flash Sale Akhir Bulan,18729,477,466983,10,3945700
2025-02-20,Launching Produk Baru,20964,631,689052,15,3417600
2025-01-23,Flash Sale Akhir Bulan,3571,100,141900,2,979928
2025-01-05,Retargeting Web,3604,287,353871,7,2000229
2025-06-17,Promo Diskon 50%,32182,472,1090792,8,3643496
2025-04-24,Flash Sale Akhir Bulan,31845,341,489335,9,3153897
2025-03-12,Retargeting Web,34389,1658,4161580,77,31465434
2025-03-13,Lookalike Audience,36216,838,1213424,14,2647652
2025-04-07,Launching Produk Baru,34258,1139,2300780,9,1582479
2025-02-26,Launching Produk Baru,35022,1526,3222912,27,13338945
2025-01-02,Lookalike Audience,26018,1046,1121312,14,6832826
2025-04-14,Launching Produk Baru,40239,1803,1938225,18,3250224
2025-06-09,Flash Sale Akhir Bulan,17492,565,1481430,10,2125570
2025-05-03,Lookalike Audience,3412,161,223790,1,237022
2025-03-07,Launching Produk Baru,33679,1319,3957000,21,3645432
2025-02-12,Promo Diskon 50%,26133,798,1199394,23,8277999
2025-05-08,Promo Diskon 50%,29754,624,746304,19,5979224
2025-05-10,Promo Diskon 50%,23689,817,2369300,29,12155234
2025-01-08,Flash Sale Akhir Bulan,44048,227,363427,7,2206414
2025-05-18,Lookalike Audience,15912,403,340535,9,1912041
2025-04-20,Retargeting Web,21036,1335,1408425,51,22416081
2025-01-24,Promo Diskon 50%,38555,833,2169965,17,6063288
2025-05-27,Promo Diskon 50%,8927,434,606298,12,4153392
2025-06-25,Lookalike Audience,44323,727,915293,13,6336356
2025-06-17,Lookalike Audience,44836,1347,3371541,15,6852810
2025-01-18,Flash Sale Akhir Bulan,23336,411,446346,16,7975520
2025-05-30,Launching Produk Baru,9979,397,485531,13,5099744
2025-06-15,Launching Produk Baru,20451,850,2081650,14,4738188
2025-02-20,Retargeting Web,49992,2024,2305336,42,10922268
2025-06-26,Promo Diskon 50%,42068,1394,4162484,38,6841672
2025-03-25,Flash Sale Akhir Bulan,48232,909,1458945,22,5978478
2025-06-23,Promo Diskon 50%,24938,368,571136,4,1253360
2025-03-14,Flash Sale Akhir Bulan,34256,872,1741384,23,5380137
2025-06-08,Lookalike Audience,40788,1120,1772960,12,2850756
2025-05-09,Lookalike Audience,40635,778,1393398,28,4297664
2025-03-01,Launching Produk Baru,39708,1598,4180368,45,20618280
2025-01-10,Launching Produk Baru,1684,43,41925,1,245050
2025-05-05,Launching Produk Baru,33241,984,2174640,4,1859668
2025-06-28,Launching Produk Baru,20527,696,1822824,3,1006968
2025-04-01,Promo Diskon 50%,18292,275,382525,7,2806314
2025-04-30,Promo Diskon 50%,35210,1460,2446960,33,10333224
2025-03-07,Launching Produk Baru,15854,272,447712,5,1588440
2025-04-25,Launching Produk Baru,45414,1599,1885221,32,4858400
2025-01-12,Lookalike Audience,2673,84,193872,3,1064133
2025-02-09,Launching Produk Baru,31868,345,853185,13,4929314
2025-01-31,Lookalike Audience,15434,602,1405670,10,2344510
2025-05-19,Launching Produk Baru,43241,1205,1054375,43,11147191
2025-01-21,Flash Sale Akhir Bulan,38103,1484,1210944,45,9167085
2025-06-10,Launching Produk Baru,25118,658,1379168,23,4922414
2025-05-27,Launching Produk Baru,29483,1419,2647854,11,3669699
2025-06-10,Flash Sale Akhir Bulan,5868,50,136450,1,250794
2025-05-09,Launching Produk Baru,39963,682,1730234,9,3461022
2025-05-27,Flash Sale Akhir Bulan,10705,321,447153,5,1118020
2025-06-23,Launching Produk Baru,3200,105,116130,2,947404
2025-05-05,Lookalike Audience,31545,1511,2753042,43,7477442
2025-01-14,Retargeting Web,41372,3240,9198360,137,57842633
2025-06-27,Promo Diskon 50%,4082,46,55062,0,0
2025-05-01,Launching Produk Baru,43258,1504,2428960,25,7124275
2025-03-12,Launching Produk Baru,36717,472,649944,5,1490225
2025-05-21,Retargeting Web,42670,2014,4011888,61,24044126
2025-06-30,Promo Diskon 50%,8200,223,258234,8,3688704
2025-01-24,Launching Produk Baru,17036,531,848007,4,1808832
2025-01-21,Lookalike Audience,22629,180,509040,6,2306748
2025-05-11,Launching Produk Baru,3100,147,164199,1,436366
2025-02-28,Flash Sale Akhir Bulan,14497,693,1884960,18,3805164
2025-04-13,Launching Produk Baru,12155,524,959444,12,2778240
2025-06-23,Lookalike Audience,13112,558,1501020,17,5584908
2025-05-12,Lookalike Audience,2575,36,65988,0,0
2025-04-09,Retargeting Web,34322,1428,2973096,60,10304520
2025-06-04,Launching Produk Baru,44908,1785,2077740,35,7852635
2025-02-21,Retargeting Web,3592,134,160800,7,3229513
2025-02-14,Launching Produk Baru,12904,266,224770,3,453570
2025-06-04,Promo Diskon 50%,44942,560,539840,13,4087070
2025-03-07,Retargeting Web,25133,987,1124193,24,4281456
2025-03-12,Flash Sale Akhir Bulan,5522,232,228288,9,2454687
2025-02-11,Flash Sale Akhir Bulan,6680,147,352506,3,1018473
2025-02-26,Flash Sale Akhir Bulan,26708,1025,1436025,13,5880433
2025-01-13,Flash Sale Akhir Bulan,1781,48,61344,1,254601
2025-02-15,Flash Sale Akhir Bulan,16545,577,627199,4,1000824
2025-02-22,Launching Produk Baru,40519,1503,2830149,59,13056995
2025-01-30,Launching Produk Baru,35104,1266,1700238,8,3327728
2025-02-27,Launching Produk Baru,13781,246,567522,5,972480
2025-01-02,Lookalike Audience,36163,187,554081,2,696352
2025-06-08,Promo Diskon 50%,29375,362,785902,3,907746
2025-02-01,Flash Sale Akhir Bulan,1139,31,80259,0,0
2025-01-11,Launching Produk Baru,36130,847,2397857,30,10131540
2025-05-24,Retargeting Web,35099,1236,1469604,42,15046626
2025-04-14,Flash Sale Akhir Bulan,9586,134,365954,0,0
2025-03-17,Flash Sale Akhir Bulan,20641,274,501146,2,455374
2025-05-05,Launching Produk Baru,22113,786,804078,11,3932324
2025-04-03,Lookalike Audience,42247,1017,1285488,36,7182432
2025-05-27,Promo Diskon 50%,40416,1075,1673775,41,18993496
2025-06-15,Lookalike Audience,49396,2321,5354547,73,27227759
2025-01-09,Lookalike Audience,3096,50,136200,1,158280
2025-03-13,Retargeting Web,48179,3204,8794980,138,61463268
2025-05-17,Promo Diskon 50%,18459,554,1473640,21,4121208
2025-03-05,Promo Diskon 50%,15774,517,450824,18,5892066
2025-03-04,Launching Produk Baru,21501,357,854301,13,4569084
2025-05-03,Lookalike Audience,1146,39,101361,1,317659
2025-03-03,Retargeting Web,11873,560,1594880,31,7750372
2025-05-17,Retargeting Web,29996,1953,2445156,112,27110160
2025-04-27,Lookalike Audience,1245,42,92484,0,0
2025-06-09,Launching Produk Baru,36111,705,1264770,16,6521024
